total_classes,attended,remaining,threshold,current_pct,study_hours,subject_difficulty,can_bunk,safe_to_bunk
131,121,11,75,92.37,3,2,11,1
94,82,9,80,87.23,5,4,9,1
140,114,31,75,81.43,3,2,31,1
100,69,15,85,69.0,4,5,12,1
103,51,7,75,49.51,5,1,7,1
82,48,11,75,58.54,4,1,11,1
101,95,23,75,94.06,2,5,23,1
132,81,27,75,61.36,2,1,27,1
81,53,7,85,65.43,1,1,7,1
109,65,27,85,59.63,7,1,13,1
117,108,35,80,92.31,5,4,28,1
81,62,25,85,76.54,4,4,13,1
143,85,7,85,59.44,3,3,7,1
139,134,49,80,96.4,2,2,36,1
100,81,27,85,81.0,7,5,16,1
112,78,27,75,69.64,2,5,26,1
137,130,36,75,94.89,3,5,36,1
101,71,40,80,70.3,7,3,22,1
128,114,35,80,89.06,7,4,29,1
138,93,26,80,67.39,4,3,23,1
121,117,16,75,96.69,4,5,16,1
139,131,8,85,94.24,5,2,8,1
94,68,32,75,72.34,5,1,25,1
141,127,52,80,90.07,6,4,35,1
141,127,19,85,90.07,6,4,19,1
126,84,12,85,66.67,1,3,12,1
141,118,27,75,83.69,2,4,27,1
130,116,47,80,89.23,5,5,32,1
134,108,28,75,80.6,4,5,28,1
143,140,12,85,97.9,3,3,12,1
82,55,5,75,67.07,4,5,5,1
130,118,17,75,90.77,2,2,17,1
86,85,4,80,98.84,6,3,4,1
100,86,24,80,86.0,4,2,22,1
118,91,1,85,77.12,1,1,1,1
97,55,9,75,56.7,2,2,9,1
83,45,29,75,54.22,6,1,18,1
139,136,49,75,97.84,3,1,46,1
93,51,4,85,54.84,6,2,4,1
88,88,32,85,100.0,7,3,18,1
132,112,0,80,84.85,1,5,0,0
81,74,17,80,91.36,2,5,17,1
139,123,31,80,88.49,3,1,30,1
123,100,46,75,81.3,1,1,36,1
87,58,10,75,66.67,6,3,10,1
126,75,20,80,59.52,1,4,19,1
114,106,25,75,92.98,2,2,25,1
115,98,24,80,85.22,5,1,24,1
129,93,21,85,72.09,1,5,17,1
83,59,26,80,71.08,7,3,17,1
81,56,12,85,69.14,1,2,10,1
85,60,32,75,70.59,6,3,23,1
133,123,33,80,92.48,6,2,31,1
83,66,0,75,79.52,3,2,0,0
133,127,20,85,95.49,6,1,20,1
142,93,47,85,65.49,4,3,21,1
97,56,5,85,57.73,2,3,5,1
123,72,27,75,58.54,2,5,24,1
113,108,16,75,95.58,5,5,16,1
141,70,4,75,49.65,5,1,4,1
93,46,30,75,49.46,2,1,19,1
127,96,4,85,75.59,7,4,4,1
94,78,37,85,82.98,5,5,17,1
141,117,2,80,82.98,3,2,2,1
119,83,22,80,69.75,6,3,21,1
132,66,36,75,50.0,2,1,25,1
103,66,36,85,64.08,5,3,15,1
105,90,9,85,85.71,2,3,9,1
139,132,9,85,94.96,4,4,9,1
120,64,18,80,53.33,1,5,16,1
108,75,16,80,69.44,6,1,16,1
94,75,20,85,79.79,2,3,14,1
124,116,13,85,93.55,1,1,13,1
144,138,8,85,95.83,5,2,8,1
88,55,0,80,62.5,1,4,0,0
80,65,12,85,81.25,6,2,11,1
87,58,3,85,66.67,2,1,3,1
142,121,0,75,85.21,4,1,0,0
90,81,31,75,90.0,7,5,28,1
87,64,33,80,73.56,5,3,19,1
114,113,27,85,99.12,2,3,21,1
114,85,30,85,74.56,6,2,17,1
112,69,7,75,61.61,5,4,7,1
84,69,25,80,82.14,3,3,18,1
120,64,33,75,53.33,1,5,24,1
107,99,2,75,92.52,7,2,2,1
86,72,11,75,83.72,6,2,11,1
91,90,0,75,98.9,3,5,0,0
113,107,43,85,94.69,2,4,22,1
112,60,4,85,53.57,4,5,4,1
127,78,29,75,61.42,5,4,26,1
102,76,29,80,74.51,1,5,21,1
141,117,56,80,82.98,5,5,34,1
116,78,16,80,67.24,7,1,16,1
123,99,47,80,80.49,2,2,29,1
114,92,22,75,80.7,5,5,22,1
144,104,14,85,72.22,1,5,14,1
126,124,36,80,98.41,2,3,32,1
82,70,20,75,85.37,5,2,20,1
80,76,13,80,95.0,4,3,13,1
84,64,1,80,76.19,6,2,1,1
93,55,10,75,59.14,2,3,10,1
106,106,38,85,100.0,6,5,21,1
88,48,33,85,54.55,2,5,12,1
